CATEGORIES,DOMAIN,DESCRIPTION,SHEET CLASSIFICATION,NAME
Platform Primitives,Platform Management,,0,Apps
Platform Primitives,Platform Management,,0,Keys
Platform Primitives,Platform Management,,0,Sessions
Platform Primitives,Platform Management,,0,Windows
Personal Information,Identity Management,,1,Persons
Personal Information,Identity Management,,1,Users
Personal Information,Identity Management,,1,Profiles
Personal Information,Content Management,,2,Assets
Personal Information,Content Management,,2,Content
Personal Information,Communications Management,,4,Communications
Personal Information,Communications Management,,4,Deliveries
CRM,Customer Relationship Management,,3,Contacts
CRM,Customer Relationship Management,,3,Companies
CRM,Customer Relationship Management,,3,Deals
CRM,Customer Relationship Management,,3,Pipelines
CRM,Customer Relationship Management,,3,Stages
CRM,Customer Relationship Management,,3,Activities
CRM,Customer Relationship Management,,3,Tasks
CRM,Customer Relationship Management,,3,Notes
CRM,Customer Relationship Management,,3,Tags
Engagement,Direct Messaging,,5,Threads
Engagement,Direct Messaging,,5,Messages
Engagement,User Generate Content,,6,Posts
Engagement,Relationship Management,,7,Followships
Engagement,Relationship Management,,7,Groups
Engagement,Reaction Management,,8,Acknowledgements
Engagement,Reaction Management,,8,Comments
E-Commerce,Marketplace,,9,Catalogs
E-Commerce,Marketplace,,9,Categories
E-Commerce,Marketplace,,9,Products
E-Commerce,Marketplace,,9,Items
E-Commerce,Commerce,,10,Transactions
E-Commerce,Commerce,,10,Orders
E-Commerce,Commerce,,10,Coupons
E-Commerce,Commerce,,10,Customers
